description,attendees,category,duration,budget,staff
Séminaire professionnel avec environ 190 participants en plein air,190,corporate,6.07,11400,6
Conférence d'entreprise avec environ 248 participants en plein air,248,corporate,6.84,27528,8
Conférence d'entreprise avec environ 557 participants en plein air,557,corporate,6.48,45674,18
Séminaire professionnel avec environ 764 participants en plein air,764,corporate,3.09,81748,25
Conférence d'entreprise avec environ 296 participants en plein air,296,corporate,3.91,31672,9
Réunion annuelle avec environ 379 participants en plein air,379,corporate,4.81,36005,12
Conférence d'entreprise avec environ 296 participants en plein air,296,corporate,6.58,36408,9
Team building avec environ 634 participants en plein air,634,corporate,5.87,46916,21
Team building avec environ 347 participants en plein air,347,corporate,5.08,34700,11
Réunion annuelle avec environ 224 participants en plein air,224,corporate,4.95,26432,7
Séminaire professionnel avec environ 410 participants en plein air,410,corporate,4.51,45100,13
Team building avec environ 644 participants en plein air,644,corporate,4.05,74060,21
Séminaire professionnel avec environ 235 participants en plein air,235,corporate,3.49,30315,7
Séminaire professionnel avec environ 311 participants en plein air,311,corporate,6.67,36076,10
Réunion annuelle avec environ 736 participants en plein air,736,corporate,6.27,86848,24
Séminaire professionnel avec environ 246 participants en plein air,246,corporate,5.17,19926,8
Réunion annuelle avec environ 462 participants en plein air,462,corporate,4.29,44814,15
Séminaire professionnel avec environ 797 participants en plein air,797,corporate,5.16,62166,26
Conférence d'entreprise avec environ 761 participants en plein air,761,corporate,6.9,48704,25
Réunion annuelle avec environ 581 participants en plein air,581,corporate,5.27,37184,19
Conférence d'entreprise avec environ 393 participants en plein air,393,corporate,3.75,32226,13
Conférence d'entreprise avec environ 469 participants en plein air,469,corporate,4.5,48776,15
Réunion annuelle avec environ 557 participants en plein air,557,corporate,5.7,33420,18
Séminaire professionnel avec environ 280 participants en plein air,280,corporate,3.55,36120,9
Réunion annuelle avec environ 407 participants en plein air,407,corporate,3.08,31339,13
Conférence d'entreprise avec environ 380 participants en plein air,380,corporate,4.52,40280,12
Séminaire professionnel avec environ 786 participants en plein air,786,corporate,5.5,49518,26
Réunion annuelle avec environ 655 participants en plein air,655,corporate,4.08,60260,21
Séminaire professionnel avec environ 683 participants en plein air,683,corporate,5.02,75813,22
Team building avec environ 257 participants en plein air,257,corporate,4.61,27756,8
Réunion annuelle avec environ 220 participants en plein air,220,corporate,3.89,14080,7
Séminaire professionnel avec environ 631 participants en plein air,631,corporate,5.42,56159,21
Conférence d'entreprise avec environ 665 participants en plein air,665,corporate,6.18,44555,22
Team building avec environ 744 participants en plein air,744,corporate,5.71,82584,24
Conférence d'entreprise avec environ 247 participants en plein air,247,corporate,5.63,20748,8
Réunion annuelle avec environ 799 participants en plein air,799,corporate,5.83,88689,26
Conférence d'entreprise avec environ 366 participants en plein air,366,corporate,5.07,34404,12
Réunion annuelle avec environ 744 participants en plein air,744,corporate,5.97,69192,24
Conférence d'entreprise avec environ 71 participants en plein air,71,corporate,3.22,6106,2
Séminaire professionnel avec environ 403 participants en plein air,403,corporate,4.73,51181,13
Conférence d'entreprise avec environ 634 participants en plein air,634,corporate,4.8,71642,21
Conférence d'entreprise avec environ 243 participants en plein air,243,corporate,5.31,24543,8
Séminaire professionnel avec environ 604 participants en plein air,604,corporate,6.58,61608,20
Team building avec environ 198 participants en plein air,198,corporate,3.07,18612,6
Séminaire professionnel avec environ 192 participants en plein air,192,corporate,4.7,20928,6
Team building avec environ 27 participants en plein air,27,corporate,4.19,2862,2
Conférence d'entreprise avec environ 723 participants en plein air,723,corporate,3.46,56394,24
Réunion annuelle avec environ 42 participants en plein air,42,corporate,5.87,5334,2
Team building avec environ 631 participants en plein air,631,corporate,6.9,69410,21
Conférence d'entreprise avec environ 628 participants en plein air,628,corporate,6.09,72220,20
Team building avec environ 612 participants en plein air,612,corporate,3.8,75888,20
Réunion annuelle avec environ 377 participants en plein air,377,corporate,3.6,24505,12
Team building avec environ 111 participants en plein air,111,corporate,4.57,9657,3
Conférence d'entreprise avec environ 35 participants en plein air,35,corporate,4.59,2380,2
Conférence d'entreprise avec environ 206 participants en plein air,206,corporate,7.0,23690,6
Réunion annuelle avec environ 200 participants en plein air,200,corporate,5.99,26000,6
Conférence d'entreprise avec environ 656 participants en plein air,656,corporate,4.75,55760,21
Conférence d'entreprise avec environ 127 participants en plein air,127,corporate,3.23,13081,4
Conférence d'entreprise avec environ 342 participants en plein air,342,corporate,3.45,24282,11
Réunion annuelle avec environ 396 participants en plein air,396,corporate,3.37,43164,13
Fête familiale avec environ 740 participants en plein air,740,social,3.12,82880,24
Soirée privée avec environ 576 participants en plein air,576,social,6.41,72000,19
Soirée privée avec environ 446 participants en plein air,446,social,4.17,27206,14
Soirée privée avec environ 136 participants en plein air,136,social,5.67,12104,4
Mariage avec environ 308 participants en plein air,308,social,6.09,21252,10
Mariage avec environ 609 participants en plein air,609,social,5.47,67599,20
Soirée privée avec environ 739 participants en plein air,739,social,4.97,61337,24
Fête familiale avec environ 279 participants en plein air,279,social,4.91,27063,9
Mariage avec environ 597 participants en plein air,597,social,5.03,48954,19
Anniversaire avec environ 105 participants en plein air,105,social,5.91,11445,3
Mariage avec environ 172 participants en plein air,172,social,6.74,11868,5
Anniversaire avec environ 638 participants en plein air,638,social,6.21,75922,21
Mariage avec environ 73 participants en plein air,73,social,3.46,9271,2
Mariage avec environ 730 participants en plein air,730,social,4.38,54750,24
Soirée privée avec environ 756 participants en plein air,756,social,5.09,82404,25
Soirée privée avec environ 741 participants en plein air,741,social,5.22,78546,24
Mariage avec environ 406 participants en plein air,406,social,4.98,26796,13
Fête familiale avec environ 230 participants en plein air,230,social,6.67,27600,7
Fête familiale avec environ 756 participants en plein air,756,social,6.41,59724,25
Fête familiale avec environ 235 participants en plein air,235,social,5.82,18800,7
Mariage avec environ 401 participants en plein air,401,social,6.82,27268,13
Fête familiale avec environ 37 participants en plein air,37,social,6.62,4255,2
Anniversaire avec environ 70 participants en plein air,70,social,5.69,4270,2
Anniversaire avec environ 79 participants en plein air,79,social,5.53,8137,2
Soirée privée avec environ 501 participants en plein air,501,social,4.1,51603,16
Soirée privée avec environ 423 participants en plein air,423,social,4.58,26649,14
Anniversaire avec environ 62 participants en plein air,62,social,3.16,6882,2
Anniversaire avec environ 399 participants en plein air,399,social,3.62,48279,13
Soirée privée avec environ 607 participants en plein air,607,social,5.5,46132,20
Soirée privée avec environ 613 participants en plein air,613,social,6.34,56396,20
Mariage avec environ 422 participants en plein air,422,social,6.5,52328,14
Soirée privée avec environ 518 participants en plein air,518,social,3.97,66822,17
Anniversaire avec environ 269 participants en plein air,269,social,4.85,28514,8
Mariage avec environ 271 participants en plein air,271,social,3.45,22764,9
Fête familiale avec environ 323 participants en plein air,323,social,6.35,36499,10
Fête familiale avec environ 232 participants en plein air,232,social,5.42,18096,7
Soirée privée avec environ 780 participants en plein air,780,social,6.89,63960,26
Mariage avec environ 581 participants en plein air,581,social,5.18,55776,19
Anniversaire avec environ 555 participants en plein air,555,social,4.07,59940,18
Soirée privée avec environ 761 participants en plein air,761,social,4.92,83710,25
Fête familiale avec environ 716 participants en plein air,716,social,4.02,86636,23
Anniversaire avec environ 381 participants en plein air,381,social,6.25,24003,12
Anniversaire avec environ 671 participants en plein air,671,social,5.08,52338,22
Fête familiale avec environ 756 participants en plein air,756,social,3.29,52164,25
Fête familiale avec environ 384 participants en plein air,384,social,4.16,25728,12
Soirée privée avec environ 615 participants en plein air,615,social,6.02,71340,20
Fête familiale avec environ 216 participants en plein air,216,social,5.23,21168,7
Mariage avec environ 629 participants en plein air,629,social,6.49,71706,20
Mariage avec environ 654 participants en plein air,654,social,4.79,48396,21
Fête familiale avec environ 338 participants en plein air,338,social,4.91,23998,11
Anniversaire avec environ 237 participants en plein air,237,social,6.8,21330,7
Anniversaire avec environ 296 participants en plein air,296,social,5.1,31968,9
Mariage avec environ 682 participants en plein air,682,social,5.96,56606,22
Mariage avec environ 107 participants en plein air,107,social,6.07,8774,3
Anniversaire avec environ 724 participants en plein air,724,social,4.35,57920,24
Fête familiale avec environ 377 participants en plein air,377,social,5.13,31291,12
Anniversaire avec environ 525 participants en plein air,525,social,5.18,40950,17
Mariage avec environ 554 participants en plein air,554,social,3.15,57616,18
Fête familiale avec environ 224 participants en plein air,224,social,6.71,13440,7
Fête familiale avec environ 145 participants en plein air,145,social,4.83,14210,4
Spectacle de théâtre avec environ 501 participants en plein air,501,cultural,4.23,51603,16
Spectacle de théâtre avec environ 419 participants en plein air,419,cultural,6.72,37710,13
Spectacle de théâtre avec environ 558 participants en plein air,558,cultural,5.94,59148,18
Festival culturel avec environ 301 participants en plein air,301,cultural,4.8,22876,10
Spectacle de théâtre avec environ 785 participants en plein air,785,cultural,6.26,78500,26
Concert de musique avec environ 338 participants en plein air,338,cultural,5.78,31096,11
Festival culturel avec environ 715 participants en plein air,715,cultural,5.53,90805,23
Spectacle de théâtre avec environ 614 participants en plein air,614,cultural,3.08,50348,20
Exposition artistique avec environ 636 participants en plein air,636,cultural,4.38,38160,21
Festival culturel avec environ 291 participants en plein air,291,cultural,4.72,22698,9
Concert de musique avec environ 624 participants en plein air,624,cultural,6.71,75504,20
Concert de musique avec environ 202 participants en plein air,202,cultural,3.12,18584,6
Exposition artistique avec environ 106 participants en plein air,106,cultural,5.18,7950,3
Festival culturel avec environ 656 participants en plein air,656,cultural,5.98,55104,21
Concert de musique avec environ 707 participants en plein air,707,cultural,4.64,66458,23
Concert de musique avec environ 123 participants en plein air,123,cultural,5.92,8610,4
Concert de musique avec environ 439 participants en plein air,439,cultural,3.23,39949,14
Spectacle de théâtre avec environ 395 participants en plein air,395,cultural,4.51,46215,13
Exposition artistique avec environ 234 participants en plein air,234,cultural,6.62,27378,7
Concert de musique avec environ 311 participants en plein air,311,cultural,6.55,19904,10
Spectacle de théâtre avec environ 677 participants en plein air,677,cultural,5.58,48067,22
Spectacle de théâtre avec environ 680 participants en plein air,680,cultural,4.9,42840,22
Spectacle de théâtre avec environ 649 participants en plein air,649,cultural,6.64,52569,21
Exposition artistique avec environ 364 participants en plein air,364,cultural,5.05,37856,12
Exposition artistique avec environ 569 participants en plein air,569,cultural,6.37,57469,18
Concert de musique avec environ 570 participants en plein air,570,cultural,4.88,57000,19
Exposition artistique avec environ 165 participants en plein air,165,cultural,5.19,12210,5
Spectacle de théâtre avec environ 157 participants en plein air,157,cultural,4.16,18997,5
Spectacle de théâtre avec environ 46 participants en plein air,46,cultural,5.8,5336,2
Exposition artistique avec environ 597 participants en plein air,597,cultural,6.76,41790,19
Concert de musique avec environ 572 participants en plein air,572,cultural,3.48,73216,19
Festival culturel avec environ 253 participants en plein air,253,cultural,5.94,30866,8
Spectacle de théâtre avec environ 104 participants en plein air,104,cultural,3.61,12480,3
Spectacle de théâtre avec environ 665 participants en plein air,665,cultural,6.74,46550,22
Exposition artistique avec environ 458 participants en plein air,458,cultural,4.26,41220,15
Concert de musique avec environ 385 participants en plein air,385,cultural,5.36,36960,12
Festival culturel avec environ 249 participants en plein air,249,cultural,3.77,17679,8
Spectacle de théâtre avec environ 272 participants en plein air,272,cultural,4.74,33728,9
Exposition artistique avec environ 511 participants en plein air,511,cultural,4.6,65919,17
Exposition artistique avec environ 400 participants en plein air,400,cultural,5.63,50000,13
Exposition artistique avec environ 588 participants en plein air,588,cultural,5.37,42924,19
Exposition artistique avec environ 149 participants en plein air,149,cultural,4.2,14602,4
Festival culturel avec environ 186 participants en plein air,186,cultural,6.46,19158,6
Festival culturel avec environ 207 participants en plein air,207,cultural,6.27,12834,6
Exposition artistique avec environ 274 participants en plein air,274,cultural,4.08,29044,9
Spectacle de théâtre avec environ 574 participants en plein air,574,cultural,6.85,51660,19
Concert de musique avec environ 687 participants en plein air,687,cultural,5.65,45342,22
Festival culturel avec environ 468 participants en plein air,468,cultural,4.14,36972,15
Festival culturel avec environ 347 participants en plein air,347,cultural,4.78,32965,11
Festival culturel avec environ 670 participants en plein air,670,cultural,3.42,85090,22
Spectacle de théâtre avec environ 452 participants en plein air,452,cultural,4.45,48816,15
Concert de musique avec environ 608 participants en plein air,608,cultural,4.59,44384,20
Festival culturel avec environ 617 participants en plein air,617,cultural,3.25,72806,20
Spectacle de théâtre avec environ 463 participants en plein air,463,cultural,6.53,40744,15
Spectacle de théâtre avec environ 542 participants en plein air,542,cultural,5.24,35772,18
Spectacle de théâtre avec environ 602 participants en plein air,602,cultural,5.63,46354,20
Spectacle de théâtre avec environ 267 participants en plein air,267,cultural,6.76,21894,8
Festival culturel avec environ 766 participants en plein air,766,cultural,3.53,48258,25
Spectacle de théâtre avec environ 361 participants en plein air,361,cultural,5.95,31407,12
Festival culturel avec environ 258 participants en plein air,258,cultural,5.74,17544,8
Course en plein air avec environ 578 participants en plein air,578,sport,3.38,63580,19
Tournoi de football avec environ 332 participants en plein air,332,sport,6.2,24568,11
Match sportif avec environ 101 participants en plein air,101,sport,6.84,12322,3
Course en plein air avec environ 107 participants en plein air,107,sport,4.18,13803,3
Tournoi de football avec environ 625 participants en plein air,625,sport,6.77,43125,20
Course en plein air avec environ 397 participants en plein air,397,sport,4.25,48037,13
Compétition régionale avec environ 504 participants en plein air,504,sport,5.21,51408,16
Match sportif avec environ 734 participants en plein air,734,sport,6.02,93218,24
Match sportif avec environ 411 participants en plein air,411,sport,5.91,46854,13
Tournoi de football avec environ 354 participants en plein air,354,sport,4.93,43896,11
Tournoi de football avec environ 351 participants en plein air,351,sport,5.84,44577,11
Tournoi de football avec environ 650 participants en plein air,650,sport,5.19,58500,21
Tournoi de football avec environ 462 participants en plein air,462,sport,5.06,56364,15
Compétition régionale avec environ 610 participants en plein air,610,sport,3.56,53680,20
Match sportif avec environ 581 participants en plein air,581,sport,4.2,37765,19
Compétition régionale avec environ 309 participants en plein air,309,sport,6.31,36153,10
Tournoi de football avec environ 753 participants en plein air,753,sport,4.63,94125,25
Compétition régionale avec environ 606 participants en plein air,606,sport,3.34,76962,20
Course en plein air avec environ 394 participants en plein air,394,sport,4.04,41764,13
Compétition régionale avec environ 304 participants en plein air,304,sport,6.97,27056,10
Match sportif avec environ 567 participants en plein air,567,sport,5.03,35721,18
Match sportif avec environ 545 participants en plein air,545,sport,6.41,49595,18
Match sportif avec environ 642 participants en plein air,642,sport,3.13,47508,21
Tournoi de football avec environ 258 participants en plein air,258,sport,5.62,17028,8
Tournoi de football avec environ 575 participants en plein air,575,sport,3.43,74175,19
Tournoi de football avec environ 276 participants en plein air,276,sport,6.07,35328,9
Compétition régionale avec environ 62 participants en plein air,62,sport,6.67,7502,2
Compétition régionale avec environ 461 participants en plein air,461,sport,4.52,42412,15
Match sportif avec environ 539 participants en plein air,539,sport,5.45,53361,17
Course en plein air avec environ 55 participants en plein air,55,sport,3.76,3520,2
Match sportif avec environ 770 participants en plein air,770,sport,6.47,97020,25
Tournoi de football avec environ 482 participants en plein air,482,sport,4.78,56394,16
Tournoi de football avec environ 193 participants en plein air,193,sport,6.23,16019,6
Course en plein air avec environ 432 participants en plein air,432,sport,6.8,32400,14
Course en plein air avec environ 776 participants en plein air,776,sport,6.13,69840,25
Match sportif avec environ 746 participants en plein air,746,sport,3.74,45506,24
Course en plein air avec environ 53 participants en plein air,53,sport,3.25,4187,2
Compétition régionale avec environ 546 participants en plein air,546,sport,3.04,70980,18
Compétition régionale avec environ 340 participants en plein air,340,sport,5.78,43520,11
Tournoi de football avec environ 279 participants en plein air,279,sport,5.16,30690,9
Compétition régionale avec environ 504 participants en plein air,504,sport,4.36,56952,16
Match sportif avec environ 735 participants en plein air,735,sport,3.53,63945,24
Compétition régionale avec environ 173 participants en plein air,173,sport,5.25,16089,5
Match sportif avec environ 439 participants en plein air,439,sport,6.73,27657,14
Course en plein air avec environ 536 participants en plein air,536,sport,5.11,59496,17
